Num Workers,Time Taken
2,13.773553
2,13.674055
2,13.021316
2,13.575882
2,14.212623
2,6.966016
2,13.470780
2,9.350875
2,11.321250
2,13.664470
2,13.659278
2,13.644744
2,13.515421
2,12.547269
2,13.507275
2,13.710873
2,13.573698
2,12.709472
2,13.400725
2,12.999715
3,5.305548
3,5.249408
3,4.761924
3,5.248146
3,5.286492
3,5.267842
3,5.343835
3,4.948106
3,4.277496
3,5.030286
3,5.218248
3,4.840318
3,5.329960
3,5.102555
3,5.228753
3,5.161568
3,5.248770
3,5.263112
3,5.203829
3,4.278622
4,3.771490
4,3.460065
4,3.630575
4,3.714889
4,3.416901
4,3.598921
4,3.205929
4,3.682418
4,3.594502
4,3.762749
4,3.700389
4,3.303050
4,3.654414
4,3.669386
4,3.349016
4,3.744703
4,3.670468
4,3.415495
4,3.747386
4,3.687085
5,2.833186
5,3.103525
5,3.157847
5,3.024548
5,2.945215
5,3.083525
5,2.975718
5,3.101765
5,3.069751
5,2.904252
5,3.008491
5,2.898536
5,3.030540
5,3.139883
5,3.127246
5,2.928512
5,3.113923
5,3.020497
5,3.087504
5,3.139168
6,2.702527
6,2.580003
6,2.706117
6,2.771279
6,2.639516
6,2.648274
6,2.850715
6,2.757677
6,2.814936
6,2.653526
6,2.826933
6,2.687459
6,2.757513
6,2.706744
6,2.672476
6,2.691061
6,2.639000
6,3.015208
6,2.795275
6,2.775470
7,2.515878
7,2.502256
7,2.477457
7,2.631708
7,2.427591
7,2.451957
7,2.304841
7,2.357927
7,2.396221
7,2.474547
7,2.586701
7,2.529765
7,2.523091
7,2.514983
7,2.430387
7,2.507406
7,2.532254
7,2.504501
7,2.431752
7,2.520129
8,2.303617
8,2.332551
8,2.411284
8,2.338948
8,2.444498
8,2.372164
8,2.261355
8,2.227201
8,2.230102
8,2.331549
8,2.353143
8,2.264122
8,2.409709
8,2.297734
8,2.385905
8,2.220591
8,2.341313
8,2.257708
8,2.316464
8,2.367434
9,2.053466
9,2.233844
9,2.256445
9,2.197282
9,2.269690
9,2.278800
9,2.231764
9,2.191606
9,2.286361
9,2.216299
9,2.193662
9,2.149470
9,2.153485
9,2.235546
9,2.200722
9,2.233407
9,2.198409
9,2.245371
9,2.215315
9,2.166419
10,2.148917
10,2.306803
10,2.129848
10,2.091267
10,2.223304
10,2.036868
10,2.138151
10,2.117121
10,2.047805
10,2.093137
10,2.125129
10,2.123214
10,2.092254
10,2.223597
10,2.200679
10,2.225163
10,2.132958
10,2.128265
10,2.304830
10,2.231012
11,2.004987
11,2.004280
11,2.018794
11,1.999952
11,2.132930
11,2.001183
11,2.017031
11,2.153989
11,2.039544
11,2.052270
11,2.050718
11,2.064943
11,2.116494
11,2.079596
11,2.060387
11,2.044317
11,2.069842
11,2.063688
11,1.983452
11,2.037166
12,2.104859
12,2.045367
12,2.080455
12,2.053045
12,2.067222
12,2.107587
12,2.147746
12,2.027797
12,2.013948
12,2.132089
12,2.111073
12,1.980553
12,2.088212
12,2.129885
12,2.156720
12,2.052089
12,2.063359
12,2.210104
12,2.035934
12,2.144839
13,2.111012
13,2.023323
13,2.038507
13,1.972175
13,2.024497
13,2.097792
13,2.084014
13,1.996138
13,2.031263
13,2.066202
13,1.890278
13,2.125843
13,2.118461
13,1.977815
13,2.028410
13,2.055694
13,2.033867
13,2.159189
13,1.755937
13,2.067313
14,1.869479
14,2.085064
14,2.065550
14,2.111641
14,2.049715
14,1.975138
14,2.008795
14,1.944785
14,1.929322
14,2.081391
14,1.923960
14,1.956139
14,1.902690
14,2.066518
14,1.999384
14,1.906931
14,1.963230
14,2.061495
14,1.987937
14,2.018804
15,2.005996
15,2.007257
15,2.012620
15,2.039773
15,1.912442
15,1.839071
15,1.976863
15,1.927994
15,1.984215
15,1.862287
15,1.893703
15,1.788733
15,1.816218
15,1.866909
15,1.987390
15,1.914248
15,1.947727
15,2.023425
15,2.029998
15,1.881236
16,1.980052
16,1.932501
16,1.997452
16,1.942834
16,1.945659
16,1.855301
16,1.850550
16,1.766889
16,1.881757
16,1.945271
16,1.833505
16,1.873234
16,1.814882
16,1.957113
16,1.924187
16,1.930840
16,2.070305
16,1.877768
16,1.876428
16,1.905406
17,1.831774
17,1.807029
17,1.943855
17,1.763849
17,1.905144
17,1.983243
17,1.859667
17,1.999073
17,1.912741
17,1.857625
17,1.834497
17,1.897830
17,1.870284
17,1.991062
17,2.027414
17,1.943536
17,1.992702
17,1.863842
17,1.857199
17,1.854640
18,1.916443
18,1.930600
18,1.762714
18,1.942089
18,1.965583
18,1.845571
18,1.812083
18,1.843574
18,1.795776
18,1.904440
18,1.837783
18,1.823932
18,1.917648
18,1.924850
18,1.854841
18,1.822171
18,1.942370
18,1.889398
18,1.951604
18,1.830070
19,1.852916
19,1.961605
19,1.850698
