Num Workers,Time Taken
2,13.286065
2,13.165269
2,6.975103
2,13.541852
2,13.581202
2,12.997063
2,12.332509
2,13.614024
2,13.690519
2,8.853547
2,13.249678
2,13.007097
2,13.348189
2,12.019644
2,13.793003
2,13.598923
2,13.334657
2,10.727986
2,13.775214
2,13.788737
3,5.262748
3,5.216487
3,4.415538
3,5.158595
3,5.133674
3,4.424809
3,5.204043
3,5.197116
3,5.213732
3,5.157005
3,5.222187
3,4.911318
3,4.255367
3,4.259874
3,5.180500
3,4.200351
3,4.184027
3,5.016717
3,5.268977
3,4.939291
4,3.687673
4,3.791992
4,3.280045
4,3.662110
4,3.678470
4,3.639103
4,3.635757
4,3.210867
4,3.667039
4,3.158212
4,3.661275
4,3.714004
4,3.594034
4,3.571370
4,3.634950
4,3.592104
4,3.655573
4,3.171444
4,3.667866
4,3.690395
5,3.047257
5,2.849956
5,2.969367
5,2.946439
5,2.984820
5,3.009382
5,2.971283
5,2.798660
5,3.042002
5,2.981594
5,3.056100
5,3.111926
5,3.114359
5,2.880214
5,2.959971
5,3.094189
5,2.992910
5,3.004367
5,2.955714
5,3.009367
6,2.665120
6,2.608684
6,2.698840
6,2.755694
6,2.631192
6,2.665652
6,2.738402
6,2.670578
6,2.672458
6,2.703701
6,2.683059
6,2.650397
6,2.781124
6,2.778645
6,3.007832
6,2.607039
6,2.615685
6,2.667644
6,2.666925
6,3.062053
7,2.401668
7,2.421261
7,2.440895
7,2.474892
7,2.445076
7,2.293403
7,2.311519
7,2.372115
7,2.482743
7,2.391184
7,2.518674
7,2.451219
7,2.481690
7,2.547474
7,2.411930
7,2.447497
7,2.427812
7,2.409681
7,2.433654
7,2.490304
8,2.244398
8,2.249404
8,2.276434
8,2.246031
8,2.350782
8,2.352680
8,2.306325
8,2.251045
8,2.312991
8,2.370412
8,2.224863
8,2.234618
8,2.242138
8,2.305379
8,2.156042
8,2.236642
8,2.273114
8,2.329756
8,2.202681
8,2.267201
9,2.113762
9,2.015882
9,2.223185
9,2.240655
9,2.249801
9,2.131443
9,2.147635
9,2.132658
9,2.180724
9,2.149717
9,2.130809
9,2.061727
9,2.254401
9,2.176642
9,2.210476
9,2.176146
9,2.172165
9,2.296792
9,2.225410
9,2.259822
10,2.143272
