Size,Threads,Time
512,1,74.6019
512,1,74.8429
512,1,70.0234
512,1,77.7597
512,1,74.0578
512,1,75.2496
512,1,80.7213
512,1,73.285
512,1,77.0157
512,1,76.0691
512,1,82.7771
512,1,78.7127
512,2,66.2929
512,2,68.0707
512,2,69.0708
512,2,67.6012
512,2,65.0417
512,2,65.7052
512,2,66.8853
512,2,65.4062
512,2,67.652
512,2,66.9268
512,2,68.6774
512,2,66.723
512,2,67.1491
512,2,65.1403
512,2,68.45
512,2,69.4206
512,2,64.4633
512,2,67.1159
512,2,67.0943
512,2,67.0476
512,4,33.6222
512,4,34.034
512,4,34.0985
512,4,33.807
512,4,33.4167
512,4,34.2122
512,4,35.1739
512,4,33.8713
512,4,33.781
512,4,34.584
512,4,33.3527
512,4,35.3038
512,4,32.7064
512,4,34.0368
512,4,34.4067
512,4,34.2399
512,4,33.9343
512,4,34.6971
512,4,33.9164
512,4,33.423
512,8,18.7948
512,8,19.5294
512,8,18.5759
512,8,20.0258
512,8,20.0904
512,8,19.4214
512,8,18.7065
512,8,18.2899
512,8,19.5901
512,8,18.7368
512,8,20.7407
512,8,18.7282
512,8,18.8555
512,8,18.2445
512,8,19.9215
512,8,18.2388
512,8,19.0933
512,8,17.78
512,8,17.8042
512,8,18.1387
512,16,10.0103
512,16,11.9425
512,16,10.3446
512,16,11.307
512,16,10.2527
512,16,9.82952
512,16,9.79725
512,16,11.503
512,16,10.2713
512,16,10.4963
512,16,10.7448
512,16,11.726
512,16,9.81072
512,16,9.62117
512,16,10.0156
512,16,10.009
512,16,10.147
512,16,10.033
512,16,11.3368
512,16,10.1676
1024,1,621.076
1024,1,627.136
1024,1,655.978
1024,1,564.823
1024,1,626.326
1024,1,585.58
1024,1,631.678
1024,1,610.162
1024,1,586.713
1024,1,586.516
1024,1,568.567
1024,1,598.649
1024,1,597.808
1024,1,586.503
1024,1,537.567
1024,1,562.73
1024,1,554.003
1024,1,544.747
1024,1,545.278
1024,1,512.98
1024,2,443.879
1024,2,467.011
1024,2,548.635
1024,2,564.491
1024,2,565.549
1024,2,546.109
1024,2,518.173
1024,2,556.143
1024,2,569.99
